epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.768,0.03123,9.8607,2.21965,0.28818,0.18969,0.1557,0.0684,0.02542,4.4259,1.91431,0.000247423,0.000247423,0.000247423
2,58.0278,0.02585,3.7183,1.93558,0.40492,0.67629,0.45536,0.26722,0.01829,3.20438,1.45618,0.000497415,0.000497415,0.000497415
3,85.8287,0.02459,3.30553,1.8835,0.3837,0.48396,0.35706,0.16761,0.02355,3.14843,1.76486,0.000747377,0.000747377,0.000747377
4,113.506,0.02551,3.32273,1.94791,0.46607,0.43916,0.45486,0.23551,0.02315,3.15194,1.76169,0.000997286,0.000997286,0.000997286
5,140.776,0.02486,3.22767,1.91824,0.47181,0.61856,0.54537,0.31087,0.01911,2.65804,1.55319,0.00124712,0.00124712,0.00124712
6,168.122,0.0247,3.08477,1.90533,0.44985,0.52264,0.51184,0.26324,0.02181,2.6665,1.62301,0.00149685,0.00149685,0.00149685
7,195.339,0.02414,3.04932,1.86246,0.5047,0.62268,0.6233,0.36172,0.01914,2.44076,1.48572,0.00174646,0.00174646,0.00174646
8,222.545,0.0233,2.92311,1.80568,0.303,0.2701,0.29481,0.15704,0.02411,3.87166,1.77848,0.00199593,0.00199593,0.00199593
9,249.75,0.023,2.88361,1.7961,0.4922,0.67629,0.59906,0.36173,0.0184,2.37656,1.4665,0.00199805,0.00199805,0.00199805
10,276.928,0.02243,2.78122,1.75,0.513,0.76907,0.66461,0.43739,0.0171,2.16639,1.35562,0.00199753,0.00199753,0.00199753
11,304.029,0.02196,2.71613,1.73471,0.52061,0.84742,0.71134,0.46543,0.01632,1.91102,1.31762,0.00199695,0.00199695,0.00199695
12,331.289,0.02159,2.63765,1.70166,0.55293,0.74639,0.68181,0.42105,0.01652,2.74553,1.36311,0.00199631,0.00199631,0.00199631
13,358.387,0.02153,2.60394,1.71274,0.54715,0.81237,0.69155,0.43318,0.01777,1.97402,1.35411,0.00199561,0.00199561,0.00199561
14,385.485,0.02125,2.4967,1.70818,0.59151,0.80412,0.7477,0.45758,0.01782,1.70391,1.34123,0.00199484,0.00199484,0.00199484
15,412.612,0.02095,2.51405,1.66075,0.5942,0.83505,0.78459,0.51771,0.01571,2.0202,1.27281,0.00199402,0.00199402,0.00199402
16,439.72,0.02011,2.35275,1.62886,0.60077,0.84742,0.77814,0.49223,0.01704,1.65481,1.3154,0.00199314,0.00199314,0.00199314
17,466.758,0.01981,2.31533,1.61926,0.61108,0.88117,0.7922,0.55629,0.01478,1.63179,1.21262,0.00199219,0.00199219,0.00199219
18,493.806,0.01987,2.30733,1.6041,0.6689,0.85808,0.83458,0.55198,0.0166,1.48422,1.27968,0.00199119,0.00199119,0.00199119
19,520.886,0.02015,2.31682,1.61126,0.62986,0.80412,0.78526,0.50619,0.01692,1.64236,1.29908,0.00199012,0.00199012,0.00199012
20,548.07,0.01987,2.26483,1.58193,0.60436,0.90928,0.81958,0.53014,0.01652,1.51624,1.29596,0.001989,0.001989,0.001989
21,575.183,0.01945,2.14439,1.57288,0.63268,0.89278,0.82739,0.50707,0.01845,1.66465,1.39265,0.00198781,0.00198781,0.00198781
22,602.23,0.01936,2.20377,1.57723,0.65104,0.89691,0.84572,0.60188,0.01383,1.35087,1.16743,0.00198656,0.00198656,0.00198656
